Code UE;Intitulé;Type ens.;Période;Jour;Heure;Min.;Max.;Langue
APM_OEL03_TP;Files d'attente -;Ouverture scientifique;2;Mardi;13h30-16h45;8;50;FR
APM_4TC01_TP;Statistiques (en Français) - 4TC01 - S1P1;Statistique;1;Mercredi;8h30-11h45;8;180;FR
APM_4TC02_TP;Statistics in english (titre à revoir);Statistique;1;Mercredi;8h30-11h45;8;110;EN
APM_4TC03_TP;Statistiques pour les apprentis (titre à revoir);Statistique;1;Mardi;13h30-16h45;8;50;FR
APM_4TC20_TP;IA/SD/ML ____ titre en attente _ S1P2 Lundi matin;IA;2;Lundi;8h30-11h45;8;100;EN
APM_4TC20_TP;IA/SD/ML ____ titre en attente _ S1P2_mardi matin;IA;2;Mardi;8h30-11h45;8;80;EN
APM_4TC20_TP;IA/SD/ML ____ titre en attente _ S1P2_vendredi matin;IA;2;Vendredi;8h30-11h45;8;80;EN
APM_4TC20_TP;IA/SD/ML ____ titre en attente _ S1P2_mardi après midi;IA;2;Mardi;13h30-16h45;8;80;EN
CCH_OEL37_TP;Innovation responsable (Cours labellisé TSE) - S1P2;Ouverture scientifique;2;Mercredi;8h30-11h45;8;30;FR
CCH_OEL37_TP;Innovation responsable (Cours labellisé TSE) - S2P3;Ouverture scientifique;3;Mercredi;8h30-11h45;8;30;FR
CCH_OEL73_TP;Concevoir un numérique responsable & inclusif - S1P2 (mercredi matin);Ouverture scientifique;2;Mercredi;8h30-11h45;8;70;FR
CCH_OEL73_TP;Concevoir un numérique responsable & inclusif - S2P3 (mercredi matin);Ouverture scientifique;3;Mercredi;8h30-11h45;8;35;FR
CSC_OEL07_TP;Logic, Knowledge Representation and Probabilities AI - S2P3;Ouverture scientifique;3;Vendredi;8h30-11h45;10;40;EN
CSC_OEL10_TP;Web Development - S1P2;Ouverture scientifique;2;Mardi;13h30-16h45;8;50;EN
CSC_OEL10_TP;Web Development - S2P4;Ouverture scientifique;4;Vendredi;13h30-16h45;8;50;EN
CSC_OEL11_TP;Paradigmes de programmation, théorie et pratique (Français) - OEL11 - S1P2;Ouverture scientifique;2;Vendredi;8h30-11h45;8;30;FR
