eleveID;filiere;info;bloc;classement
E001;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E001;A;apprenti;Economie du numérique;ECO_OEL30_TP
E001;A;apprenti;Humanités Contemporaines;HSS_OEL53_TP|HSS_OEL50_TP|HSS_OEL56_TP|HSS_OEL65_TP|HSS_OEL63_TP|HSS_OEL58_TP|HSS_OEL61_TP|HSS_OEL66_TP|HSS_OEL52_TP|HSS_OEL59_TP|HSS_OEL57_TP|HSS_OEL51_TP
E001;A;apprenti;IA;APM_4TC20_TP
E001;A;apprenti;Optimisation;FMA_4TC13_TP|FMA_4TC11_TP|FMA_4TC12_TP|FMA_4TC10_TP
E001;A;apprenti;Ouverture scientifique;CSC_OEL07_TP|CSC_OEL10_TP|PHY_OEL14_TP|APM_OEL03_TP|CSC_OEL13_TP|PHY_OEL17_TP|CSC_OEL12_TP|PHY_OEL18_TP|CSC_OEL11_TP|CCH_OEL73_TP|CCH_OEL37_TP|PHY_OEL16_TP
E001;A;apprenti;SEHS;HSS_OEL46_TP|HSS_OEL44_TP|IME_OEL38_TP|HSS_OEL33_TP|HSS_OEL32_TP|HSS_OEL43_TP|ECO_OEL40_TP|HSS_OEL42_TP|IME_OEL31_TP|HSS_OEL39_TP
E001;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E001;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E002;A;apprenti;Droit;HSS_OEL21_TP|HSS_OEL25_TP|HSS_OEL22_TP
E002;A;apprenti;Economie du numérique;ECO_OEL30_TP
E002;A;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL56_TP|HSS_OEL53_TP|HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL61_TP|HSS_OEL50_TP|HSS_OEL59_TP|HSS_OEL57_TP|HSS_OEL51_TP|HSS_OEL52_TP|HSS_OEL65_TP
E002;A;apprenti;IA;APM_4TC20_TP
E002;A;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC12_TP|FMA_4TC10_TP
E002;A;apprenti;Ouverture scientifique;CSC_OEL13_TP|CSC_OEL10_TP|CCH_OEL73_TP|APM_OEL03_TP|PHY_OEL14_TP|CSC_OEL12_TP|PHY_OEL17_TP|CSC_OEL07_TP|CCH_OEL37_TP|PHY_OEL18_TP|CSC_OEL11_TP|PHY_OEL16_TP
E002;A;apprenti;SEHS;HSS_OEL44_TP|ECO_OEL40_TP|HSS_OEL42_TP|HSS_OEL46_TP|HSS_OEL32_TP|HSS_OEL43_TP|IME_OEL38_TP|HSS_OEL33_TP|HSS_OEL39_TP|IME_OEL31_TP
E002;A;apprenti;Statistique;APM_4TC03_TP|APM_4TC02_TP|APM_4TC01_TP
E002;A;apprenti;Sécurité;CSC_4TC31_TP|CSC_4TC30_TP
E003;C;apprenti;Droit;HSS_OEL21_TP|HSS_OEL22_TP|HSS_OEL25_TP
E003;C;apprenti;Economie du numérique;ECO_OEL30_TP
E003;C;apprenti;Humanités Contemporaines;HSS_OEL63_TP|HSS_OEL65_TP|HSS_OEL58_TP|HSS_OEL66_TP|HSS_OEL57_TP|HSS_OEL50_TP|HSS_OEL56_TP|HSS_OEL53_TP|HSS_OEL61_TP|HSS_OEL51_TP|HSS_OEL59_TP|HSS_OEL52_TP
E003;C;apprenti;IA;APM_4TC20_TP
E003;C;apprenti;Optimisation;FMA_4TC11_TP|FMA_4TC13_TP|FMA_4TC12_TP|FMA_4TC10_TP
