PersID;IDDossierEtudiant;Nom;Prénom;CampagneIntitulé;IDCampagne;IDDemande;IDOccur Choix 1;IDOccur Choix 2;IDOccur Choix 3;IDOccur Choix 4;IDOccur Choix 5;IDOccur Choix 6;IDOccur Choix 7;IDOccur Choix 8;IDOccur Choix 9;IDOccur Choix 10;IDOccur Choix 11;IDOccur Choix 12;IDOccur Choix 13;IDOccur Choix 14
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54401;36086;;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54402;36813;36814;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54403;36087;33796;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54404;;;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54405;36858;;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54406;36809;36811;36810;36807;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54407;36785;36779;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54408;35869;;;;;;;;;;;;;
300000;300000;0877432d1026706d;7e805da846a32c3b;Campagne synthétique;544;54409;36790;36794;36791;;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54401;36086;35441;;;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54402;36038;36813;36815;36814;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54403;35400;35307;33796;35445;36088;35352;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54404;35773;34316;35955;35076;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54405;35428;35970;36827;34780;35968;35412;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54406;36809;;;;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54407;35598;36779;;;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54408;36775;35869;36774;;;;;;;;;;;
300001;300001;c8eb5bb682575ec8;7a171ac826a6fce4;Campagne synthétique;544;54409;36791;;;;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54401;35441;36086;;;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54402;36813;36814;36815;;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54403;35352;35440;35307;36087;36088;36105;35400;35445;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54404;35956;35954;35771;35076;35809;34316;35776;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54405;36806;34689;35972;;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54406;36810;36811;36807;36809;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54407;36789;35600;36785;35597;35598;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54408;35869;36774;;;;;;;;;;;;
300002;300002;cce8038a39d5e085;3964b50af03b9717;Campagne synthétique;544;54409;36790;36792;;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54401;36086;35308;35441;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54402;36038;36814;;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54403;35307;;;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54404;35954;35809;35776;35773;37032;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54405;36858;35412;;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54406;36809;36811;36810;36807;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54407;36785;36789;35598;35600;36780;36779;35597;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54408;35869;36775;;;;;;;;;;;;
300003;300003;3772a077021721a2;78f64f7fd633dbdd;Campagne synthétique;544;54409;36790;36792;36794;;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54401;35308;;;;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54402;36813;;;;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54403;35445;;;;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54404;35955;35076;35954;35771;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54405;35610;36825;36806;34780;33471;36827;35968;35435;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54406;36811;36810;36807;36809;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54407;35600;35597;35598;36780;36785;36779;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54408;36774;;;;;;;;;;;;;
300004;300004;2e310275dff6c15c;0c8e9df469611a11;Campagne synthétique;544;54409;36794;;;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54401;35308;36086;35441;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54402;36813;36815;;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54403;36087;33796;35307;35400;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54404;;;;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54405;35874;36806;36825;34689;34780;35412;36827;33425;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54406;36810;;;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54407;;;;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54408;36775;35869;36774;;;;;;;;;;;
300005;300005;a78c49ea20e32684;b27b95e909348334;Campagne synthétique;544;54409;36791;;;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54401;36086;;;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54402;36038;36814;36815;36813;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54403;36105;35445;35352;35307;36087;36088;35400;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54404;35076;35956;35773;35809;35954;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54405;34689;35435;;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54406;36810;36807;;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54407;35600;35598;36779;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54408;36774;35869;36775;;;;;;;;;;;
300006;300006;5ed03241b4d419b1;b673bd4755d05ad7;Campagne synthétique;544;54409;36791;;;;;;;;;;;;;
300007;300007;828bca0385813dba;d3c681d06bd2aa39;Campagne synthétique;544;54401;36086;;;;;;;;;;;;;
300007;300007;828bca0385813dba;d3c681d06bd2aa39;Campagne synthétique;544;54402;36814;36815;36038;;;;;;;;;;;
