Idoccur;Idue;Codeue;Intituleoccur;Periode;Bloc;Créneau prédéfini;Nbinscrits;Effectifmin;Effectifmax;Langues;FISEA
33425;28240;CSC_4EL10_TP;Web Development_S1P2_Mercredi matin;S1-P2;Module d'ouverture ;Me-am;0;10;50;Anglais;N
33471;28240;CSC_4EL10_TP;Web Development_S2P4_Vendredi matin;S2-P4;Module d'ouverture ;Ve-pm;0;10;50;Anglais;N
33796;29193;HSS_4EL42_TP;Quant UX - Quantitative analysis of User Experience Data_S2P3_Vendredi après-midi;S2-P3;Bloc module d'ouverture SEHS;Ve-pm;0;8;20;Anglais;N
35809;29826;HSS_4EL50_TP;Questions de philosophie_S2P3_Mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Français;N
34689;28811;CCH_4EL73_TP;Concevoir un numérique responsable & inclusif (Cours labellisé Numérique Responsable*)_S1P2_Mercredi matin;S1-P2;Module d'ouverture ;Me-am;0;10;35;Français;N
34780;29147;CCH_4EL37_TP;Responsible Innovation (Cours labellisé Numérique Responsable*)_S1P2_Mardi après-midi;S1-P2;Module d'ouverture ;Ma-pm;0;10;30;Anglais;N
35307;30116;HSS_4EL43_TP;Numérique et politiques publiques_S2P3_Lundi matin;S2-P3;Bloc module d'ouverture SEHS;Lu-am;0;10;50;Français;N
35308;29174;HSS_4EL21_TP;Intellectual property for digital engineers_S2P4_Mercredi matin;S2-P4;Bloc Droit;Me-am;0;10;130;Anglais;N
35352;29195;IME_4EL31_TP;Finance d’entreprise_S2P4_Mardi après-midi;S2-P4;Bloc module d'ouverture SEHS;Ma-pm;0;10;30;Français;N
35400;29233;HSS_4EL44_TP;Computational social sciences_S2P4_Lundi matin;S2-P4;Bloc module d'ouverture SEHS;Lu-am;0;10;60;Anglais;N
35412;29188;PHY_4EL14_TP;Technologies quantiques_S1P2_Mercredi matin;S1-P2;Module d'ouverture ;Me-am;0;10;50;Français;N
35428;29584;CSC_4EL12_TP;Programming contest training_S2P4_Lundi matin;S2-P4;Module d'ouverture ;Lu-am;0;10;30;Anglais;N
35435;30063;ECO_4EL40_TP;Business Economics for Strategy and Innovation_S1P2_Vendredi après-midi;S1-P2;Module d'ouverture ;Ve-pm;0;10;60;Anglais;N
35440;29723;HSS_4EL39_TP;Analyse et visualisations des interactions sociales_S2P4_Mardi après-midi;S2-P4;Bloc module d'ouverture SEHS;Ma-pm;0;8;20;Français;N
35441;29490;HSS_4EL22_TP;Droit et régulation du numérique_S2P3_Mercredi matin;S2-P3;Bloc Droit;Me-am;0;20;130;Français;N
35445;29195;IME_4EL31_TP;Finance d’entreprise_S2P4_Mardi matin;S2-P4;Bloc module d'ouverture SEHS;Ma-am;0;10;30;Français;N
35597;29455;FMA_4TC10_TP;Optimisation continue : approche théorique_S1P1_Lundi matin;S1-P1;TC Optim;Lu-am;0;10;40;Français;N
35598;29455;FMA_4TC10_TP;Optimisation continue : approche théorique_S1P1_Mardi après-midi;S1-P1;TC Optim;Ma-pm;0;10;40;Français;N
35600;29455;FMA_4TC10_TP;Optimisation continue : approche théorique_S1P1_Vendredi matin;S1-P1;TC Optim;Ve-am;0;10;40;Français;N
35610;30145;CSC_4EL11_TP;Paradigmes de programmation, théorie et pratique_S1P2_Vendredi matin;S1-P2;Module d'ouverture ;Ve-am;0;10;30;Français;N
35611;29584;CSC_4EL12_TP;Préparation au concours de programmation_S2P3_Vendredi matin;S2-P3;Module d'ouverture ;Ve-am;0;10;30;Français;N
35773;29827;HSS_4EL52_TP;Le corps politique_S2P4_mercredi matin;S2-P4;Humanités Contemporaines;Me-am;0;10;33;Français;N
35771;29828;HSS_4EL53_TP;La philosophie des sciences aujourd'hui_S2P4_Mercredi matin;S2-P4;Humanités Contemporaines;Me-am;0;10;33;Français;N
35954;29604;HSS_4EL57_TP;Introduction à la psychanalyse_S2P3_mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Français;N
35955;29605;HSS_4EL58_TP;Comprendre l'architecture aujourd'hui_S2P3_Mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Français;N
35956;29829;HSS_4EL59_TP;Design et information : une histoire de liaisons_S2P4_mercredi matin;S2-P4;Humanités Contemporaines;Me-am;0;10;33;Français;N
35869;29222;APM_4TC01_TP;Statistiques_S1P1_Mercredi matin;S1-P1;TC Stat;Me-am;0;10;180;Français;N
35874;29898;APM_4EL03_TP;Files d'attente_S1P2_Mardi après-midi;S1-P2;Module d'ouverture ;Ma-pm;0;10;50;Français;N
34316;29830;HSS_4EL61_TP;Histoire de l'invention en musique_S2P3_Mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Français;N
35076;29979;HSS_4EL62_TP;La fabrique de l'enquête ( XX-XXIe s.) : terrain, regard, écriture_S2P4_mercredi matin;S2-P4;Humanités Contemporaines;Me-am;0;10;33;Français;N
35810;29832;HSS_4EL65_TP;La revanche de l’analogique. Quand le numérique a besoin du physique_S2P4_Mercredi matin;S2-P4;Humanités Contemporaines;Me-am;0;10;33;Français;N
37032;30654;HSS_4EL68_TP;Pourquoi les IA ne pensent-elles pas ? Approches philosophiques des théories de l'intelligence artificielle _ S2P3_Mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Français;N
35776;29627;HSS_4EL66_TP;Shifting Worldviews: An Anthropological Approach to Reality  (Priorité donnée aux élèves internationaux)_S2P3_Mardi après-midi;S2-P3;Humanités Contemporaines;Ma-pm;0;10;28;Anglais;N
35968;29583;CSC_4EL07_TP;Logic, Knowledge Representation and Probabilities AI_S2P3_Vendredi matin;S2-P3;Module d'ouverture ;Ve-am;0;10;40;Anglais;N
35970;30145;CSC_4EL11_TP;Programming Paradigms: Theory and Practice_S1P2_Mardi après-midi;S1-P2;Module d'ouverture ;Ma-pm;0;10;30;Anglais;N
35972;29585;CSC_4EL13_TP;Databases (EN)_S2P4_Mardi après-midi;S2-P4;Module d'ouverture ;Ma-pm;0;10;50;Anglais;N
36038;29671;ECO_4TC40_TP;Economie du numérique_S2P3_Mardi matin;S2-P3;Bloc Eco Num;Ma-am;0;8;80;Français;N
36086;29192;HSS_4EL25_TP;Droit et gestion de la cybersécurité d'une organisation_S2P3_Mardi après-midi;S2-P3;Bloc Droit;Ma-pm;0;10;50;Français;N
36087;29479;HSS_4EL32_TP;Internet and society_S2P3_Vendredi matin;S2-P3;Bloc module d'ouverture SEHS;Ve-am;0;10;30;Anglais;N
36088;29175;HSS_4EL33_TP;Cinéma, société et management_S2P4_Mardi matin;S2-P4;Bloc module d'ouverture SEHS;Ma-pm;0;10;50;Français;N
36105;29435;IME_4EL38_TP;Introduction au Management_S2P3_Mardi après-midi;S2-P3;Bloc module d'ouverture SEHS;Ma-pm;0;10;35;Français;N
36774;30538;APM_4TC02_TP;Statistics_S1P1_Mercredi matin;S1-P1;TC Stat;Me-am;0;10;110;Anglais;N
36775;30539;APM_4TC03_TP;Statistiques (FISEA)_Mardi après-midi;S1-P1;TC Stat;Ma-pm;0;10;30;Français;O
36779;30540;FMA_4TC11_TP;Optimisation continue : approche par les travaux pratiques_S1P1_Mardi matin;S1-P1;TC Optim;Ma-am;0;10;70;Français;N
36780;30540;FMA_4TC11_TP;Optimisation continue : approche par les travaux pratiques_S1P1_Vendredi matin;S1-P1;TC Optim;Ve-am;0;10;70;Français;N
36785;30542;FMA_4TC12_TP;Continuous optimization and numerical analysis: practical approach_S1P1_Mardi après-midi;S1-P1;TC Optim;Ma-pm;0;10;70;Anglais;N
36789;30543;FMA_4TC13_TP;Optimisation et analyse numérique  (FISEA);S1-P2;TC Optim;Ma-pm;0;10;30;Français;O
36790;30544;CSC_4TC30_TP;Sécurité des systèmes numériques_S1P1_Lundi matin;S1-P1;TC Sécurité;Lu-am;0;10;80;Français;N
36791;30544;CSC_4TC30_TP;Sécurité des systèmes numériques_S1P1_Mardi après-midi;S1-P1;TC Sécurité;Ma-pm;0;10;80;Français;N
36792;30544;CSC_4TC30_TP;Sécurité des systèmes numériques_S1P1_Vendredi après-midi;S1-P1;TC Sécurité;Ve-pm;0;10;80;Français;N
36794;30545;CSC_4TC31_TP;Digital System Security_S1P1_Mercredi matin;S1-P2;TC Sécurité;Me-am;0;10;80;Anglais;N
36806;29147;CCH_4EL37_TP;Responsible Innovation (Cours labellisé Numérique Responsable*)_S2P3_Vendredi après-midi;S2-P3;Module d'ouverture ;Ve-pm;0;10;30;Anglais;N
36807;30547;APM_4TC20_TP;An Introduction to Artificial Intelligence and Machine Learning_S1P2_Lundi matin;S1-P2;TC IA;Lu-am;0;10;80;Anglais;N
36809;30547;APM_4TC20_TP;An Introduction to Artificial Intelligence and Machine Learning_S1P2_Mardi matin;S1-P2;TC IA;Ma-am;0;10;80;Anglais;N
36810;30547;APM_4TC20_TP;An Introduction to Artificial Intelligence and Machine Learning_ S1P2_Mardi après midi;S1-P2;TC IA;Ma-pm;0;10;80;Anglais;N
36811;30547;APM_4TC20_TP;An Introduction to Artificial Intelligence and Machine Learning_S1P2_Vendredi matin;S1-P2;TC IA;Ve-am;0;10;80;Anglais;N
36813;29671;ECO_4TC40_TP;Economie du numérique_S2P3_Mercredi matin;S2-P3;Bloc Eco Num;Me-am;0;8;80;Français;N
36814;29671;ECO_4TC40_TP;Introduction to the digital economy_S2P4_Mardi après-midi;S2-P4;Bloc Eco Num;Ma-pm;0;8;80;Anglais;N
36815;29671;ECO_4TC40_TP;Economie du numérique_S2P4_Vendredi matin;S2-P4;Bloc Eco Num;Ve-am;0;8;80;Français;N
36816;30548;PHY_4EL16_TP;Circuit intégré : De l'idée à la puce_S2P3_Mardi après-midi;S2-P3;Module d'ouverture ;Ma_pm;0;10;24;Français;N
36825;30551;PHY_4EL18_TP;Special Relativity_S1P2_Mercredi matin;S1-P2;Module d'ouverture ;Me-am;0;10;30;Anglais;N
36827;28811;CCH_4EL73_TP;Concevoir un numérique responsable & inclusif (Cours labellisé Numérique Responsable*)_S2P3_Mercredi matin;S2-P3;Module d'ouverture ;Me-am;0;10;35;Français;N
36858;30568;APM_4EL08_TP;Deep Generative Modeling_S2P3_Lundi matin;S2-P3;Module d'ouverture ;Lu-am;0;10;30;Anglais;N
